Skeleton Warriors,PS,50,Action,11
Johnny Bazookatone,PS,50,Platform,11
PGA Tour '96,PS,70,Sports,11
Namco Museum Vol. 1,PS,80,Action Compilation,11
Road & Track Presents: The Need for Speed,PS,70,Racing,11
Mario Kart 64,Nintendo64,81,Racing Action,2
Rally Cross,PS,70,Racing,2
Spider,PS,60,Action,2
Grid Runner,PS,60,Action,2
Virtual Pool,PS,70,Sports,2
Pro-Pinball,PS,80,Pinball,2
Deception: Invitation to Darkness,PS,70,Strategy,2
Peak Performance,PS,70,Racing,4
Independence Day,PS,20,Action,4
Buster Bros. Collection,PS,60,Action,4
Re-Loaded: The Hardcore Sequel,PS,40,Shooter,12
Destruction Derby 2,PS,72,Racing,12
Blood Omen: Legacy of Kain,PS,85,Action RPG,1
Tunnel B-1,PS,60,Action,1
Doom 64,Nintendo64,74,Shooter,1
NHL FaceOff '97,PS,80,Sports,1
Super Puzzle Fighter II Turbo,PS,90,Puzzle Action,1
NBA Hang Time,Nintendo64,54,Sports,1
Suikoden,PS,90,RPG,1
Battle Stations,PS,60,Strategy,4
Nanotek Warrior,PS,80,Action,4
Rush Hour,PS,60,Racing,4
BRAHMA Force: The Assault On Beltlogger 9,PS,70,Action,4
Vandal Hearts,PS,80,RPG,4
MechWarrior 2,PS,80,Simulation,4
VR Baseball '97,PS,70,Sports,4
Need for Speed II,PS,60,Racing,4
Samurai Shodown III: Blades of Blood,PS,65,Fighting,12
Mortal Kombat Trilogy,PS,60,Fighting,12
Pitball,PS,50,Action,12
MLB Pennant Race,PS,50,Sports,12
Tempest X3: An Inter-Galactic Battle Zone,PS,80,Action,12
Project Overkill,PS,50,Action,1
Crusader: No Remorse,PS,70,Action,1
VR Golf '97,PS,80,Sports,1
Iron Man / XO Manowar in Heavy Metal,PS,30,Action,1
Disruptor,PS,80,Shooter,1
Final Doom,PS,70,Action,1
Twisted Metal 2,PS,73,Action,1
NFL GameDay 97,PS,78,Sports,1
Jet Moto,PS,80,Racing,1
FIFA Soccer 64,Nintendo64,42,Sports,4
Command & Conquer (1997),PS,80,Strategy,3
Mega Man 8,PS,60,Action,3
Big Bass World Championship,PS,60,Hunting,3
Blast Corps,Nintendo64,90,Action,3
NBA Live '97,PS,80,Sports,3
NBA ShootOut '97,PS,90,Sports,3
Turok: Dinosaur Hunter,Nintendo64,86,Shooter,3
The Crow: City of Angels,PS,10,Action,3
Star Wars: Dark Forces,PS,50,Action,12
Tomb Raider -- Featuring Lara Croft,PS,93,Adventure,12
Pandemonium,PS,66,Platform,12
Cool Boarders,PS,70,Sports,12
