NBA 2K13,X360,2012,Sports,Take-Two Interactive,88,72
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,73,92
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,82,66
World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,93,91
Devil May Cry,PS2,2001,Action,Capcom,94,85
Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,85,59
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,84,81
Sonic Heroes,PS2,2003,Platform,Sega,64,78
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,85,78
Titanfall,XOne,2014,Shooter,Electronic Arts,86,64
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,88,85
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,87,90
Pac-Man Collection,GBA,2001,Puzzle,Atari,79,78
Street Fighter IV,X360,2009,Fighting,Capcom,93,73
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,85,83
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,76,88
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,78,43
FIFA 15,X360,2014,Sports,Electronic Arts,0,42
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,91,87
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,73,86
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,93,90
Sega Superstars Tennis,X360,2008,Sports,Sega,67,68
Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,85,89
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,61,53
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,76,77
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,83,74
Imagine: Babyz,DS,2007,Simulation,Ubisoft,0,77
Madden NFL 13,X360,2012,Sports,Electronic Arts,81,58
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,87,87
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,83,78
Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,84,84
Madden NFL 10,X360,2009,Sports,Electronic Arts,85,61
BioShock,X360,2007,Shooter,Take-Two Interactive,96,89
Metroid Prime,GC,2002,Shooter,Nintendo,97,93
Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,90,82
Finding Nemo,GBA,2003,Action,THQ,0,70
Medal of Honor,PS3,2010,Shooter,Electronic Arts,75,75
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,0,76
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,80,79
NBA Street,PS2,2001,Sports,Electronic Arts,89,86
Jak II,PS2,2003,Platform,Sony Computer Entertainment,87,82
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,89,72
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,81,56
Battlefield 3,PC,2011,Shooter,Electronic Arts,89,75
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,83,77
The Sims,PS2,2003,Simulation,Electronic Arts,83,77
Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,84,79
Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,73,67
Yoshi's Island DS,DS,2006,Platform,Nintendo,81,74
Saints Row: The Third,X360,2011,Action,THQ,84,76
Tekken 6,PS3,2009,Fighting,Namco Bandai Games,79,74
Sonic and the Secret Rings,Wii,2007,Platform,Sega,69,66
FIFA 16,PS3,2015,Sports,Electronic Arts,0,32
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,95,91
Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,86,82
L.A. Noire,X360,2011,Adventure,Take-Two Interactive,89,78
Call of Duty 3,X360,2006,Shooter,Activision,82,65
Madden NFL 12,X360,2011,Sports,Electronic Arts,78,59
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,84,90
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,73,68
Madden NFL 11,X360,2010,Sports,Electronic Arts,84,57
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,93,91
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,79,77
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,83,87
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,77,82
Medal of Honor,PS,1998,Shooter,Electronic Arts,92,86
Fable,XB,2004,Role-Playing,Microsoft Game Studios,85,85
Guitar Hero: World Tour,X360,2008,Misc,Activision,85,63
FIFA 17,XOne,2016,Sports,Electronic Arts,84,55
Hannah Montana,DS,2006,Action,Disney Interactive Studios,0,67
Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,89,77
Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,84,69
